trial,seed,steps,rows,cols,final_prey,final_predators,final_vegetation,prey_extinct,predator_extinct,time_to_prey_extinction,time_to_predator_extinction,mean_prey,mean_predators,mean_vegetation,migration_rate,drought_probability,disease_probability,fragmentation_rate,predation_rate,stability_score,recovery_time_after_drought,scenario
5,5049922,160,6,6,283.081712,27.743922,23396.708923,false,false,,,501.867907,303.720483,19871.545227,0.010000,0.000000,0.015000,0.350000,0.00180000,0.516763,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
6,5059895,160,6,6,260.342006,27.473724,23767.885075,false,false,,,490.950717,303.443251,19948.621686,0.010000,0.000000,0.015000,0.350000,0.00180000,0.508017,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
7,5069868,160,6,6,226.122045,26.843915,23822.987271,false,false,,,467.090996,302.103525,19857.826594,0.010000,0.000000,0.015000,0.350000,0.00180000,0.494814,,migration_0.010_drought_0.000_fragmentation_0.350_predation_0.00180
0,6000060,160,6,6,120.962255,25.744608,16676.259166,false,false,,,420.889335,301.015899,14875.123078,0.010000,0.010000,0.015000,0.350000,0.00180000,0.457301,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
1,6010033,160,6,6,168.414489,26.762878,17050.120713,false,false,,,463.007571,303.219636,16264.278953,0.010000,0.010000,0.015000,0.350000,0.00180000,0.484966,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
2,6020006,160,6,6,152.288196,26.516162,15713.249394,false,false,,,451.123400,302.965642,15619.217814,0.010000,0.010000,0.015000,0.350000,0.00180000,0.476024,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
3,6029979,160,6,6,148.522491,26.215568,17938.116930,false,false,,,434.664796,301.351874,16145.350416,0.010000,0.010000,0.015000,0.350000,0.00180000,0.469894,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
4,6039952,160,6,6,174.767278,26.503183,18440.210475,false,false,,,448.733297,301.255710,16577.697512,0.010000,0.010000,0.015000,0.350000,0.00180000,0.483045,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
5,6049925,160,6,6,119.762772,25.757210,17038.131739,false,false,,,419.174762,300.806372,14207.394305,0.010000,0.010000,0.015000,0.350000,0.00180000,0.456474,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
6,6059898,160,6,6,160.016618,26.504692,17558.778742,false,false,,,450.189032,302.478742,15812.181668,0.010000,0.010000,0.015000,0.350000,0.00180000,0.477570,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
7,6069871,160,6,6,142.253385,26.720750,16270.304312,false,false,,,456.630236,303.554818,15034.197600,0.010000,0.010000,0.015000,0.350000,0.00180000,0.478012,,migration_0.010_drought_0.010_fragmentation_0.350_predation_0.00180
0,7000063,160,6,6,110.461684,25.841749,13569.757111,false,false,,,421.025505,300.788168,14120.546926,0.010000,0.015000,0.015000,0.350000,0.00180000,0.459715,,migration_0.010_drought_0.015_fragmentation_0.350_predation_0.00180
